employer_name,employee_city,employee_state,regular_hourly_rate_parsed_counts
AT&T MOBILITY SERVICES LLC,Tallahassee,FL,"{""15.525"": 1}"
AT&T MOBILITY SERVICES LLC,Austell,GA,"{""17.8"": 1}"
AT&T MOBILITY SERVICES LLC,Duluth,GA,"{""17.8"": 1}"
AT&T MOBILITY SERVICES LLC,Newburgh,IN,"{""19.6125"": 1}"
AT&T MOBILITY SERVICES LLC,Alexandria,LA,"{""15.525"": 1}"
AT&T MOBILITY SERVICES LLC,New Bedford,MA,"{""20.0375"": 1}"
AT&T MOBILITY SERVICES LLC,Sedalia,MO,"{""16.7"": 1}"
AT&T MOBILITY SERVICES LLC,Tupelo,MS,"{""15.525"": 1}"
AT&T MOBILITY SERVICES LLC,Girard,OH,"{""25.6375"": 1}"
Apple Inc.,Manteca,CA,"{""22.0"": 1}"
Apple Inc.,Northridge,CA,"{""25.0"": 1}"
Apple Inc.,Sacramento,CA,"{""25.39"": 1}"
Apple Inc.,San Diego,CA,"{""24.0"": 1}"
Apple Inc.,Davie,FL,"{""23.0"": 1}"
Apple Inc.,Miami,FL,"{""23.93"": 1}"
Apple Inc.,Atlanta,GA,"{""22.0"": 1}"
Apple Inc.,Marietta,GA,"{""22.0"": 1}"
Apple Inc.,Oak Park,IL,"{""23.0"": 1}"
Apple Inc.,Saint Louis,MO,"{""29.43"": 1}"
Apple Inc.,Kearny,NJ,"{""29.02"": 1}"
Apple Inc.,Brooklyn,NY,"{""30.1"": 1}"
Apple Inc.,Queens,NY,"{""27.28"": 1}"
Apple Inc.,Collierville,TN,"{""25.82"": 1}"
Apple Inc.,Dallas,TX,"{""22.0"": 1, ""24.11"": 1}"
Apple Inc.,Fort Worth,TX,"{""26.41"": 1}"
"Aramark Campus, LLC",Tuscaloosa,AL,"{""14.25"": 1, ""15.25"": 1}"
"Aramark Campus, LLC",Quincy,FL,"{""15.0"": 1}"
"Aramark Campus, LLC",Camp Springs,MD,"{""21.55"": 1}"
"Aramark Campus, LLC",Greensboro,NC,"{""17.5"": 1}"
"Aramark Campus, LLC",Wilmington,NC,"{""15.0"": 2}"
"Aramark Campus, LLC",Cleveland,OH,"{""19.0"": 1}"
"Aramark Campus, LLC",Drexel Hill,PA,"{""25.0"": 1}"
"Aramark Campus, LLC",Conway,SC,"{""13.91"": 1}"
"Aramark Campus, LLC",Little Elm,TX,"{""16.0"": 1}"
"Aramark Campus, LLC",Dendron,VA,"{""18.0"": 1}"
"Aramark Campus, LLC",Norfolk,VA,"{""15.0"": 1, ""15.75"": 1}"
"Aramark Campus, LLC",Edmonds,WA,"{""24.75"": 1}"
"AutoZoners, LLC",North Downey,CA,"{""16.78"": 1}"
"AutoZoners, LLC",Rancho Cucamonga,CA,"{""19.5"": 1}"
"AutoZoners, LLC",Sacramento,CA,"{""20.0"": 1}"
"AutoZoners, LLC",South Los Angeles,CA,"{""17.28"": 1}"
"AutoZoners, LLC",Aurora,CO,"{""18.55"": 1}"
"AutoZoners, LLC",Seffner,FL,"{""13.25"": 1}"
"AutoZoners, LLC",Elberton,GA,"{""19.45"": 1}"
"AutoZoners, LLC",Hartwell,GA,"{""22.2"": 1}"
"AutoZoners, LLC",Rex,GA,"{""20.71"": 1}"
"AutoZoners, LLC",Riverdale,GA,"{""13.06"": 1}"
"AutoZoners, LLC",Wailuku,HI,"{""15.62"": 1}"
"AutoZoners, LLC",Arlington Heights,IL,"{""15.0"": 1}"
"AutoZoners, LLC",Bloomington,IL,"{""19.0"": 1}"
"AutoZoners, LLC",Burbank,IL,"{""18.39"": 1}"
"AutoZoners, LLC",River Grove,IL,"{""18.2"": 1}"
"AutoZoners, LLC",Independence,KY,"{""16.0"": 1}"
"AutoZoners, LLC",Haverhill,MA,"{""17.5"": 1}"
"AutoZoners, LLC",Lynn,MA,"{""16.44"": 1}"
"AutoZoners, LLC",Sedalia,MO,"{""14.15"": 1}"
"AutoZoners, LLC",St Louis,MO,"{""13.2"": 1}"
"AutoZoners, LLC",Jackson,MS,"{""12.0"": 1}"
"AutoZoners, LLC",North Plainfield,NJ,"{""21.0"": 1}"
"AutoZoners, LLC",Albuquerque,NM,"{""18.18"": 1}"
